Bal;Date;Heure;debit (g/h);debit1 (g/h)
60;2022.10.06;45:45,3;20,002;20,002
61;2022.10.06;45:47,3;19,999;19,999
62;2022.10.06;45:49,3;20,003;20,003
63;2022.10.06;45:51,3;19,996;19,996
64;2022.10.06;45:53,3;19,998;19,998
65;2022.10.06;45:55,3;19,996;19,996
66;2022.10.06;45:57,3;20,005;20,005
67;2022.10.06;45:59,3;19,999;19,999
68;2022.10.06;46:01,3;19,999;19,999
69;2022.10.06;46:03,3;19,998;19,998
70;2022.10.06;46:05,3;20,002;20,002
71;2022.10.06;46:07,3;19,998;19,998
72;2022.10.06;46:09,3;19,996;19,996
73;2022.10.06;46:11,3;19,996;19,996
74;2022.10.06;46:13,3;20,002;20,002
75;2022.10.06;46:15,3;20;20
76;2022.10.06;46:17,3;19,999;19,999
77;2022.10.06;46:19,3;20,004;20,004
78;2022.10.06;46:21,3;20,002;20,002
79;2022.10.06;46:23,3;19,995;19,995
80;2022.10.06;46:25,3;19,993;19,993
81;2022.10.06;46:27,3;19,997;19,997
82;2022.10.06;46:29,3;20,002;20,002
83;2022.10.06;46:31,3;19,996;19,996
84;2022.10.06;46:33,3;19,995;19,995
85;2022.10.06;46:35,3;20,001;20,001
86;2022.10.06;46:37,3;20;20
87;2022.10.06;46:39,3;20,003;20,003
88;2022.10.06;46:41,3;20,005;20,005
89;2022.10.06;46:43,3;19,999;19,999
90;2022.10.06;46:45,3;19,997;19,997
91;2022.10.06;46:47,3;19,999;19,999
92;2022.10.06;46:49,3;20,005;20,005
93;2022.10.06;46:51,3;19,997;19,997
94;2022.10.06;46:53,3;20,008;20,008
95;2022.10.06;46:55,3;19,992;19,992
96;2022.10.06;46:57,3;20;20
97;2022.10.06;46:59,3;20,006;20,006
98;2022.10.06;47:01,3;19,998;19,998
99;2022.10.06;47:03,3;20;20
100;2022.10.06;47:05,3;20,007;20,007
101;2022.10.06;47:07,3;20,005;20,005
102;2022.10.06;47:09,3;19,997;19,997
103;2022.10.06;47:11,3;20,007;20,007
104;2022.10.06;47:13,3;19,996;19,996
105;2022.10.06;47:15,3;19,998;19,998
106;2022.10.06;47:17,3;20,001;20,001
107;2022.10.06;47:19,3;20,004;20,004
108;2022.10.06;47:21,3;20,005;20,005
109;2022.10.06;47:23,3;20,001;20,001
110;2022.10.06;47:25,3;19,991;19,991
111;2022.10.06;47:27,3;20,003;20,003
112;2022.10.06;47:29,3;20,004;20,004
