Balayage;Temps;Temps;S304;S 305
990;27/01/2023 12:05;27/01/2023 12:05;69,536;70,121
991;27/01/2023 12:05;27/01/2023 12:05;69,541;70,123
992;27/01/2023 12:05;27/01/2023 12:05;69,541;70,123
993;27/01/2023 12:05;27/01/2023 12:05;69,544;70,123
994;27/01/2023 12:06;27/01/2023 12:06;69,541;70,129
995;27/01/2023 12:06;27/01/2023 12:06;69,541;70,129
996;27/01/2023 12:06;27/01/2023 12:06;69,538;70,137
997;27/01/2023 12:06;27/01/2023 12:06;69,541;70,137
998;27/01/2023 12:06;27/01/2023 12:06;69,544;70,123
999;27/01/2023 12:06;27/01/2023 12:06;69,541;70,126
1000;27/01/2023 12:06;27/01/2023 12:06;69,541;70,126
1001;27/01/2023 12:06;27/01/2023 12:06;69,538;70,123
1002;27/01/2023 12:06;27/01/2023 12:06;69,541;70,121
1003;27/01/2023 12:06;27/01/2023 12:06;69,547;70,121
1004;27/01/2023 12:06;27/01/2023 12:06;69,538;70,132
1005;27/01/2023 12:06;27/01/2023 12:06;69,547;70,129
1006;27/01/2023 12:07;27/01/2023 12:07;69,544;70,132
1007;27/01/2023 12:07;27/01/2023 12:07;69,538;70,126
1008;27/01/2023 12:07;27/01/2023 12:07;69,538;70,123
1009;27/01/2023 12:07;27/01/2023 12:07;69,547;70,132
1010;27/01/2023 12:07;27/01/2023 12:07;69,536;70,137
1011;27/01/2023 12:07;27/01/2023 12:07;69,538;70,14
1012;27/01/2023 12:07;27/01/2023 12:07;69,538;70,135
1013;27/01/2023 12:07;27/01/2023 12:07;69,538;70,135
1014;27/01/2023 12:07;27/01/2023 12:07;69,544;70,14
1015;27/01/2023 12:07;27/01/2023 12:07;69,544;70,118
1016;27/01/2023 12:07;27/01/2023 12:07;69,544;70,132
1017;27/01/2023 12:07;27/01/2023 12:07;69,544;70,14
1018;27/01/2023 12:08;27/01/2023 12:08;69,541;70,135
1019;27/01/2023 12:08;27/01/2023 12:08;69,541;70,152
1020;27/01/2023 12:08;27/01/2023 12:08;69,541;70,143
1021;27/01/2023 12:08;27/01/2023 12:08;69,541;70,123
1022;27/01/2023 12:08;27/01/2023 12:08;69,533;70,14
1023;27/01/2023 12:08;27/01/2023 12:08;69,538;70,132
1024;27/01/2023 12:08;27/01/2023 12:08;69,547;70,137
1025;27/01/2023 12:08;27/01/2023 12:08;69,55;70,137
1026;27/01/2023 12:08;27/01/2023 12:08;69,541;70,149
1027;27/01/2023 12:08;27/01/2023 12:08;69,547;70,14
1028;27/01/2023 12:08;27/01/2023 12:08;69,541;70,135
1029;27/01/2023 12:08;27/01/2023 12:08;69,547;70,137
1030;27/01/2023 12:09;27/01/2023 12:09;69,536;70,146
1031;27/01/2023 12:09;27/01/2023 12:09;69,544;70,146
1032;27/01/2023 12:09;27/01/2023 12:09;69,538;70,137
1033;27/01/2023 12:09;27/01/2023 12:09;69,538;70,135
1034;27/01/2023 12:09;27/01/2023 12:09;69,541;70,137
1035;27/01/2023 12:09;27/01/2023 12:09;69,541;70,132
1036;27/01/2023 12:09;27/01/2023 12:09;69,541;70,129
1037;27/01/2023 12:09;27/01/2023 12:09;69,538;70,135
1038;27/01/2023 12:09;27/01/2023 12:09;69,547;70,135
1039;27/01/2023 12:09;27/01/2023 12:09;69,541;70,132
1040;27/01/2023 12:09;27/01/2023 12:09;69,544;70,143
1041;27/01/2023 12:09;27/01/2023 12:09;69,547;70,14
1042;27/01/2023 12:10;27/01/2023 12:10;69,547;70,154
1043;27/01/2023 12:10;27/01/2023 12:10;69,538;70,14
1044;27/01/2023 12:10;27/01/2023 12:10;69,547;70,154
1045;27/01/2023 12:10;27/01/2023 12:10;69,541;70,149
1046;27/01/2023 12:10;27/01/2023 12:10;69,538;70,132
1047;27/01/2023 12:10;27/01/2023 12:10;69,538;70,129
1048;27/01/2023 12:10;27/01/2023 12:10;69,547;70,14
1049;27/01/2023 12:10;27/01/2023 12:10;69,541;70,16
1050;27/01/2023 12:10;27/01/2023 12:10;69,567;70,191
1051;27/01/2023 12:10;27/01/2023 12:10;69,595;70,248
1052;27/01/2023 12:10;27/01/2023 12:10;69,623;70,316
1053;27/01/2023 12:10;27/01/2023 12:10;69,688;70,426
1054;27/01/2023 12:11;27/01/2023 12:11;69,77;70,573
1055;27/01/2023 12:11;27/01/2023 12:11;69,863;70,734
1056;27/01/2023 12:11;27/01/2023 12:11;69,993;70,94
1057;27/01/2023 12:11;27/01/2023 12:11;70,143;71,175
1058;27/01/2023 12:11;27/01/2023 12:11;70,332;71,434
1059;27/01/2023 12:11;27/01/2023 12:11;70,539;71,745
1060;27/01/2023 12:11;27/01/2023 12:11;70,787;72,073
1061;27/01/2023 12:11;27/01/2023 12:11;71,067;72,449
1062;27/01/2023 12:11;27/01/2023 12:11;71,372;72,865
1063;27/01/2023 12:11;27/01/2023 12:11;71,706;73,313
1064;27/01/2023 12:11;27/01/2023 12:11;72,084;73,767
1065;27/01/2023 12:11;27/01/2023 12:11;72,48;74,266
1066;27/01/2023 12:12;27/01/2023 12:12;72,921;74,794
1067;27/01/2023 12:12;27/01/2023 12:12;73,381;75,37
1068;27/01/2023 12:12;27/01/2023 12:12;73,878;75,952
1069;27/01/2023 12:12;27/01/2023 12:12;74,397;76,576
1070;27/01/2023 12:12;27/01/2023 12:12;74,953;77,211
1071;27/01/2023 12:12;27/01/2023 12:12;75,52;77,873
1072;27/01/2023 12:12;27/01/2023 12:12;76,119;78,545
1073;27/01/2023 12:12;27/01/2023 12:12;76,735;79,232
1074;27/01/2023 12:12;27/01/2023 12:12;77,35;79,921
1075;27/01/2023 12:12;27/01/2023 12:12;77,983;80,585
1076;27/01/2023 12:12;27/01/2023 12:12;78,622;81,258
1077;27/01/2023 12:12;27/01/2023 12:12;79,252;81,902
1078;27/01/2023 12:13;27/01/2023 12:13;79,873;82,532
1079;27/01/2023 12:13;27/01/2023 12:13;80,494;83,136
1080;27/01/2023 12:13;27/01/2023 12:13;81,099;83,746
1081;27/01/2023 12:13;27/01/2023 12:13;81,686;84,316
1082;27/01/2023 12:13;27/01/2023 12:13;82,254;84,861
1083;27/01/2023 12:13;27/01/2023 12:13;82,81;85,355
1084;27/01/2023 12:13;27/01/2023 12:13;83,343;85,854
1085;27/01/2023 12:13;27/01/2023 12:13;83,857;86,319
1086;27/01/2023 12:13;27/01/2023 12:13;84,35;86,752
1087;27/01/2023 12:13;27/01/2023 12:13;84,818;87,165
1088;27/01/2023 12:13;27/01/2023 12:13;85,272;87,564
1089;27/01/2023 12:13;27/01/2023 12:13;85,692;87,954
1090;27/01/2023 12:14;27/01/2023 12:14;86,11;88,29
1091;27/01/2023 12:14;27/01/2023 12:14;86,487;88,647
1092;27/01/2023 12:14;27/01/2023 12:14;86,857;88,937
1093;27/01/2023 12:14;27/01/2023 12:14;87,196;89,236
1094;27/01/2023 12:14;27/01/2023 12:14;87,515;89,487
1095;27/01/2023 12:14;27/01/2023 12:14;87,809;89,735
1096;27/01/2023 12:14;27/01/2023 12:14;88,088;89,94
1097;27/01/2023 12:14;27/01/2023 12:14;88,345;90,14
1098;27/01/2023 12:14;27/01/2023 12:14;88,587;90,316
1099;27/01/2023 12:14;27/01/2023 12:14;88,795;90,47
1100;27/01/2023 12:14;27/01/2023 12:14;88,997;90,613
1101;27/01/2023 12:14;27/01/2023 12:14;89,171;90,738
1102;27/01/2023 12:15;27/01/2023 12:15;89,328;90,838
1103;27/01/2023 12:15;27/01/2023 12:15;89,481;90,92
1104;27/01/2023 12:15;27/01/2023 12:15;89,604;90,997
1105;27/01/2023 12:15;27/01/2023 12:15;89,712;91,08
1106;27/01/2023 12:15;27/01/2023 12:15;89,803;91,1
1107;27/01/2023 12:15;27/01/2023 12:15;89,889;91,143
1108;27/01/2023 12:15;27/01/2023 12:15;89,957;91,188
1109;27/01/2023 12:15;27/01/2023 12:15;90,017;91,222
1110;27/01/2023 12:15;27/01/2023 12:15;90,063;91,225
1111;27/01/2023 12:15;27/01/2023 12:15;90,097;91,237
1112;27/01/2023 12:15;27/01/2023 12:15;90,128;91,22
1113;27/01/2023 12:15;27/01/2023 12:15;90,148;91,231
1114;27/01/2023 12:16;27/01/2023 12:16;90,154;91,188
1115;27/01/2023 12:16;27/01/2023 12:16;90,154;91,151
1116;27/01/2023 12:16;27/01/2023 12:16;90,16;91,128
1117;27/01/2023 12:16;27/01/2023 12:16;90,151;91,108
1118;27/01/2023 12:16;27/01/2023 12:16;90,151;91,071
1119;27/01/2023 12:16;27/01/2023 12:16;90,123;91,023
1120;27/01/2023 12:16;27/01/2023 12:16;90,103;91,003
1121;27/01/2023 12:16;27/01/2023 12:16;90,086;90,946
1122;27/01/2023 12:16;27/01/2023 12:16;90,063;90,926
1123;27/01/2023 12:16;27/01/2023 12:16;90,043;90,878
1124;27/01/2023 12:16;27/01/2023 12:16;90,009;90,855
1125;27/01/2023 12:16;27/01/2023 12:16;89,977;90,829
1126;27/01/2023 12:17;27/01/2023 12:17;89,949;90,775
1127;27/01/2023 12:17;27/01/2023 12:17;89,92;90,732
1128;27/01/2023 12:17;27/01/2023 12:17;89,889;90,684
1129;27/01/2023 12:17;27/01/2023 12:17;89,855;90,664
1130;27/01/2023 12:17;27/01/2023 12:17;89,823;90,633
1131;27/01/2023 12:17;27/01/2023 12:17;89,792;90,613
1132;27/01/2023 12:17;27/01/2023 12:17;89,758;90,553
1133;27/01/2023 12:17;27/01/2023 12:17;89,726;90,536
1134;27/01/2023 12:17;27/01/2023 12:17;89,698;90,49
1135;27/01/2023 12:17;27/01/2023 12:17;89,678;90,464
1136;27/01/2023 12:17;27/01/2023 12:17;89,652;90,453
1137;27/01/2023 12:17;27/01/2023 12:17;89,627;90,39
1138;27/01/2023 12:18;27/01/2023 12:18;89,607;90,353
1139;27/01/2023 12:18;27/01/2023 12:18;89,578;90,342
1140;27/01/2023 12:18;27/01/2023 12:18;89,553;90,339
1141;27/01/2023 12:18;27/01/2023 12:18;89,536;90,285
1142;27/01/2023 12:18;27/01/2023 12:18;89,51;90,285
1143;27/01/2023 12:18;27/01/2023 12:18;89,493;90,265
1144;27/01/2023 12:18;27/01/2023 12:18;89,487;90,231
1145;27/01/2023 12:18;27/01/2023 12:18;89,464;90,219
1146;27/01/2023 12:18;27/01/2023 12:18;89,447;90,205
1147;27/01/2023 12:18;27/01/2023 12:18;89,444;90,194
1148;27/01/2023 12:18;27/01/2023 12:18;89,433;90,191
1149;27/01/2023 12:18;27/01/2023 12:18;89,427;90,211
1150;27/01/2023 12:19;27/01/2023 12:19;89,405;90,197
1151;27/01/2023 12:19;27/01/2023 12:19;89,399;90,194
1152;27/01/2023 12:19;27/01/2023 12:19;89,399;90,202
1153;27/01/2023 12:19;27/01/2023 12:19;89,385;90,157
1154;27/01/2023 12:19;27/01/2023 12:19;89,382;90,145
1155;27/01/2023 12:19;27/01/2023 12:19;89,379;90,162
1156;27/01/2023 12:19;27/01/2023 12:19;89,382;90,14
1157;27/01/2023 12:19;27/01/2023 12:19;89,376;90,145
1158;27/01/2023 12:19;27/01/2023 12:19;89,367;90,154
1159;27/01/2023 12:19;27/01/2023 12:19;89,367;90,131
1160;27/01/2023 12:19;27/01/2023 12:19;89,373;90,145
1161;27/01/2023 12:19;27/01/2023 12:19;89,373;90,125
1162;27/01/2023 12:20;27/01/2023 12:20;89,367;90,154
1163;27/01/2023 12:20;27/01/2023 12:20;89,365;90,16
1164;27/01/2023 12:20;27/01/2023 12:20;89,367;90,151
1165;27/01/2023 12:20;27/01/2023 12:20;89,37;90,165
1166;27/01/2023 12:20;27/01/2023 12:20;89,373;90,154
1167;27/01/2023 12:20;27/01/2023 12:20;89,37;90,168
1168;27/01/2023 12:20;27/01/2023 12:20;89,373;90,142
1169;27/01/2023 12:20;27/01/2023 12:20;89,385;90,142
1170;27/01/2023 12:20;27/01/2023 12:20;89,382;90,162
1171;27/01/2023 12:20;27/01/2023 12:20;89,39;90,177
1172;27/01/2023 12:20;27/01/2023 12:20;89,387;90,174
1173;27/01/2023 12:20;27/01/2023 12:20;89,387;90,154
1174;27/01/2023 12:21;27/01/2023 12:21;89,396;90,165
1175;27/01/2023 12:21;27/01/2023 12:21;89,396;90,157
1176;27/01/2023 12:21;27/01/2023 12:21;89,407;90,137
1177;27/01/2023 12:21;27/01/2023 12:21;89,402;90,157
1178;27/01/2023 12:21;27/01/2023 12:21;89,407;90,157
1179;27/01/2023 12:21;27/01/2023 12:21;89,416;90,154
1180;27/01/2023 12:21;27/01/2023 12:21;89,413;90,174
1181;27/01/2023 12:21;27/01/2023 12:21;89,416;90,16
1182;27/01/2023 12:21;27/01/2023 12:21;89,43;90,174
1183;27/01/2023 12:21;27/01/2023 12:21;89,424;90,157
1184;27/01/2023 12:21;27/01/2023 12:21;89,433;90,157
1185;27/01/2023 12:21;27/01/2023 12:21;89,43;90,168
1186;27/01/2023 12:22;27/01/2023 12:22;89,439;90,162
1187;27/01/2023 12:22;27/01/2023 12:22;89,439;90,171
1188;27/01/2023 12:22;27/01/2023 12:22;89,439;90,177
1189;27/01/2023 12:22;27/01/2023 12:22;89,442;90,165
1190;27/01/2023 12:22;27/01/2023 12:22;89,45;90,182
1191;27/01/2023 12:22;27/01/2023 12:22;89,45;90,197
1192;27/01/2023 12:22;27/01/2023 12:22;89,447;90,197
1193;27/01/2023 12:22;27/01/2023 12:22;89,447;90,205
1194;27/01/2023 12:22;27/01/2023 12:22;89,459;90,217
1195;27/01/2023 12:22;27/01/2023 12:22;89,459;90,211
1196;27/01/2023 12:22;27/01/2023 12:22;89,453;90,208
1197;27/01/2023 12:22;27/01/2023 12:22;89,459;90,185
1198;27/01/2023 12:23;27/01/2023 12:23;89,467;90,208
1199;27/01/2023 12:23;27/01/2023 12:23;89,464;90,205
1200;27/01/2023 12:23;27/01/2023 12:23;89,467;90,225
1201;27/01/2023 12:23;27/01/2023 12:23;89,464;90,228
1202;27/01/2023 12:23;27/01/2023 12:23;89,467;90,199
1203;27/01/2023 12:23;27/01/2023 12:23;89,47;90,199
1204;27/01/2023 12:23;27/01/2023 12:23;89,476;90,217
1205;27/01/2023 12:23;27/01/2023 12:23;89,476;90,222
1206;27/01/2023 12:23;27/01/2023 12:23;89,479;90,199
1207;27/01/2023 12:23;27/01/2023 12:23;89,473;90,202
1208;27/01/2023 12:23;27/01/2023 12:23;89,479;90,211
1209;27/01/2023 12:23;27/01/2023 12:23;89,479;90,211
1210;27/01/2023 12:24;27/01/2023 12:24;89,481;90,211
1211;27/01/2023 12:24;27/01/2023 12:24;89,484;90,239
1212;27/01/2023 12:24;27/01/2023 12:24;89,484;90,237
1213;27/01/2023 12:24;27/01/2023 12:24;89,487;90,248
1214;27/01/2023 12:24;27/01/2023 12:24;89,487;90,242
1215;27/01/2023 12:24;27/01/2023 12:24;89,481;90,242
1216;27/01/2023 12:24;27/01/2023 12:24;89,49;90,217
1217;27/01/2023 12:24;27/01/2023 12:24;89,493;90,199
1218;27/01/2023 12:24;27/01/2023 12:24;89,493;90,199
1219;27/01/2023 12:24;27/01/2023 12:24;89,49;90,208
1220;27/01/2023 12:24;27/01/2023 12:24;89,487;90,211
1221;27/01/2023 12:24;27/01/2023 12:24;89,493;90,199
1222;27/01/2023 12:25;27/01/2023 12:25;89,496;90,194
1223;27/01/2023 12:25;27/01/2023 12:25;89,493;90,197
1224;27/01/2023 12:25;27/01/2023 12:25;89,49;90,199
1225;27/01/2023 12:25;27/01/2023 12:25;89,499;90,211
1226;27/01/2023 12:25;27/01/2023 12:25;89,501;90,202
1227;27/01/2023 12:25;27/01/2023 12:25;89,499;90,191
1228;27/01/2023 12:25;27/01/2023 12:25;89,49;90,211
1229;27/01/2023 12:25;27/01/2023 12:25;89,493;90,205
1230;27/01/2023 12:25;27/01/2023 12:25;89,501;90,202
1231;27/01/2023 12:25;27/01/2023 12:25;89,496;90,194
1232;27/01/2023 12:25;27/01/2023 12:25;89,49;90,197
1233;27/01/2023 12:25;27/01/2023 12:25;89,496;90,211
1234;27/01/2023 12:26;27/01/2023 12:26;89,501;90,214
1235;27/01/2023 12:26;27/01/2023 12:26;89,493;90,199
1236;27/01/2023 12:26;27/01/2023 12:26;89,499;90,211
1237;27/01/2023 12:26;27/01/2023 12:26;89,501;90,191
1238;27/01/2023 12:26;27/01/2023 12:26;89,499;90,194
1239;27/01/2023 12:26;27/01/2023 12:26;89,501;90,194
1240;27/01/2023 12:26;27/01/2023 12:26;89,499;90,199
1241;27/01/2023 12:26;27/01/2023 12:26;89,504;90,199
1242;27/01/2023 12:26;27/01/2023 12:26;89,501;90,205
1243;27/01/2023 12:26;27/01/2023 12:26;89,504;90,225
1244;27/01/2023 12:26;27/01/2023 12:26;89,499;90,197
1245;27/01/2023 12:26;27/01/2023 12:26;89,504;90,208
1246;27/01/2023 12:27;27/01/2023 12:27;89,501;90,188
1247;27/01/2023 12:27;27/01/2023 12:27;89,499;90,191
1248;27/01/2023 12:27;27/01/2023 12:27;89,504;90,197
1249;27/01/2023 12:27;27/01/2023 12:27;89,496;90,197
1250;27/01/2023 12:27;27/01/2023 12:27;89,496;90,202
1251;27/01/2023 12:27;27/01/2023 12:27;89,504;90,205
1252;27/01/2023 12:27;27/01/2023 12:27;89,501;90,214
1253;27/01/2023 12:27;27/01/2023 12:27;89,499;90,214
1254;27/01/2023 12:27;27/01/2023 12:27;89,501;90,214
1255;27/01/2023 12:27;27/01/2023 12:27;89,507;90,205
1256;27/01/2023 12:27;27/01/2023 12:27;89,507;90,214
1257;27/01/2023 12:27;27/01/2023 12:27;89,501;90,208
1258;27/01/2023 12:28;27/01/2023 12:28;89,504;90,197
1259;27/01/2023 12:28;27/01/2023 12:28;89,501;90,199
1260;27/01/2023 12:28;27/01/2023 12:28;89,504;90,194
1261;27/01/2023 12:28;27/01/2023 12:28;89,507;90,202
1262;27/01/2023 12:28;27/01/2023 12:28;89,499;90,194
1263;27/01/2023 12:28;27/01/2023 12:28;89,501;90,199
1264;27/01/2023 12:28;27/01/2023 12:28;89,501;90,208
1265;27/01/2023 12:28;27/01/2023 12:28;89,504;90,202
1266;27/01/2023 12:28;27/01/2023 12:28;89,501;90,214
1267;27/01/2023 12:28;27/01/2023 12:28;89,51;90,208
1268;27/01/2023 12:28;27/01/2023 12:28;89,504;90,208
1269;27/01/2023 12:28;27/01/2023 12:28;89,504;90,222
1270;27/01/2023 12:29;27/01/2023 12:29;89,501;90,228
1271;27/01/2023 12:29;27/01/2023 12:29;89,501;90,214
1272;27/01/2023 12:29;27/01/2023 12:29;89,504;90,228
1273;27/01/2023 12:29;27/01/2023 12:29;89,501;90,219
1274;27/01/2023 12:29;27/01/2023 12:29;89,501;90,208
1275;27/01/2023 12:29;27/01/2023 12:29;89,507;90,222
1276;27/01/2023 12:29;27/01/2023 12:29;89,504;90,217
1277;27/01/2023 12:29;27/01/2023 12:29;89,501;90,214
1278;27/01/2023 12:29;27/01/2023 12:29;89,504;90,225
1279;27/01/2023 12:29;27/01/2023 12:29;89,51;90,239
1280;27/01/2023 12:29;27/01/2023 12:29;89,507;90,234
1281;27/01/2023 12:29;27/01/2023 12:29;89,501;90,259
1282;27/01/2023 12:30;27/01/2023 12:30;89,51;90,214
1283;27/01/2023 12:30;27/01/2023 12:30;89,504;90,225
1284;27/01/2023 12:30;27/01/2023 12:30;89,504;90,256
1285;27/01/2023 12:30;27/01/2023 12:30;89,501;90,256
1286;27/01/2023 12:30;27/01/2023 12:30;89,507;90,217
1287;27/01/2023 12:30;27/01/2023 12:30;89,499;90,225
1288;27/01/2023 12:30;27/01/2023 12:30;89,501;90,214
1289;27/01/2023 12:30;27/01/2023 12:30;89,501;90,231
1290;27/01/2023 12:30;27/01/2023 12:30;89,51;90,222
1291;27/01/2023 12:30;27/01/2023 12:30;89,516;90,228
1292;27/01/2023 12:30;27/01/2023 12:30;89,51;90,214
1293;27/01/2023 12:30;27/01/2023 12:30;89,51;90,234
1294;27/01/2023 12:31;27/01/2023 12:31;89,51;90,217
1295;27/01/2023 12:31;27/01/2023 12:31;89,504;90,234
1296;27/01/2023 12:31;27/01/2023 12:31;89,51;90,234
1297;27/01/2023 12:31;27/01/2023 12:31;89,504;90,222
1298;27/01/2023 12:31;27/01/2023 12:31;89,504;90,234
1299;27/01/2023 12:31;27/01/2023 12:31;89,51;90,219
1300;27/01/2023 12:31;27/01/2023 12:31;89,499;90,222
1301;27/01/2023 12:31;27/01/2023 12:31;89,507;90,239
1302;27/01/2023 12:31;27/01/2023 12:31;89,507;90,222
1303;27/01/2023 12:31;27/01/2023 12:31;89,504;90,245
1304;27/01/2023 12:31;27/01/2023 12:31;89,507;90,239
1305;27/01/2023 12:31;27/01/2023 12:31;89,513;90,219
1306;27/01/2023 12:32;27/01/2023 12:32;89,507;90,211
1307;27/01/2023 12:32;27/01/2023 12:32;89,51;90,214
1308;27/01/2023 12:32;27/01/2023 12:32;89,516;90,217
1309;27/01/2023 12:32;27/01/2023 12:32;89,513;90,214
1310;27/01/2023 12:32;27/01/2023 12:32;89,51;90,219
1311;27/01/2023 12:32;27/01/2023 12:32;89,51;90,219
1312;27/01/2023 12:32;27/01/2023 12:32;89,507;90,217
1313;27/01/2023 12:32;27/01/2023 12:32;89,507;90,208
1314;27/01/2023 12:32;27/01/2023 12:32;89,518;90,208
1315;27/01/2023 12:32;27/01/2023 12:32;89,513;90,214
1316;27/01/2023 12:32;27/01/2023 12:32;89,507;90,202
1317;27/01/2023 12:32;27/01/2023 12:32;89,504;90,205
1318;27/01/2023 12:33;27/01/2023 12:33;89,504;90,211
1319;27/01/2023 12:33;27/01/2023 12:33;89,504;90,208
1320;27/01/2023 12:33;27/01/2023 12:33;89,513;90,197
1321;27/01/2023 12:33;27/01/2023 12:33;89,504;90,199
1322;27/01/2023 12:33;27/01/2023 12:33;89,507;90,211
1323;27/01/2023 12:33;27/01/2023 12:33;89,513;90,199
1324;27/01/2023 12:33;27/01/2023 12:33;89,51;90,222
1325;27/01/2023 12:33;27/01/2023 12:33;89,513;90,199
1326;27/01/2023 12:33;27/01/2023 12:33;89,51;90,208
1327;27/01/2023 12:33;27/01/2023 12:33;89,507;90,211
1328;27/01/2023 12:33;27/01/2023 12:33;89,504;90,191
1329;27/01/2023 12:33;27/01/2023 12:33;89,513;90,202
1330;27/01/2023 12:34;27/01/2023 12:34;89,504;90,199
1331;27/01/2023 12:34;27/01/2023 12:34;89,507;90,202
1332;27/01/2023 12:34;27/01/2023 12:34;89,507;90,197
1333;27/01/2023 12:34;27/01/2023 12:34;89,516;90,202
1334;27/01/2023 12:34;27/01/2023 12:34;89,513;90,191
1335;27/01/2023 12:34;27/01/2023 12:34;89,516;90,194
1336;27/01/2023 12:34;27/01/2023 12:34;89,507;90,202
1337;27/01/2023 12:34;27/01/2023 12:34;89,507;90,194
1338;27/01/2023 12:34;27/01/2023 12:34;89,516;90,205
1339;27/01/2023 12:34;27/01/2023 12:34;89,507;90,208
1340;27/01/2023 12:34;27/01/2023 12:34;89,507;90,191
1341;27/01/2023 12:34;27/01/2023 12:34;89,507;90,197
1342;27/01/2023 12:35;27/01/2023 12:35;89,513;90,197
1343;27/01/2023 12:35;27/01/2023 12:35;89,513;90,199
1344;27/01/2023 12:35;27/01/2023 12:35;89,513;90,197
1345;27/01/2023 12:35;27/01/2023 12:35;89,518;90,199
1346;27/01/2023 12:35;27/01/2023 12:35;89,507;90,205
1347;27/01/2023 12:35;27/01/2023 12:35;89,507;90,197
1348;27/01/2023 12:35;27/01/2023 12:35;89,504;90,197
1349;27/01/2023 12:35;27/01/2023 12:35;89,513;90,194
1350;27/01/2023 12:35;27/01/2023 12:35;89,507;90,191
1351;27/01/2023 12:35;27/01/2023 12:35;89,501;90,191
1352;27/01/2023 12:35;27/01/2023 12:35;89,51;90,197
1353;27/01/2023 12:35;27/01/2023 12:35;89,507;90,197
1354;27/01/2023 12:36;27/01/2023 12:36;89,501;90,194
1355;27/01/2023 12:36;27/01/2023 12:36;89,51;90,202
1356;27/01/2023 12:36;27/01/2023 12:36;89,51;90,199
1357;27/01/2023 12:36;27/01/2023 12:36;89,51;90,199
1358;27/01/2023 12:36;27/01/2023 12:36;89,51;90,202
1359;27/01/2023 12:36;27/01/2023 12:36;89,51;90,214
1360;27/01/2023 12:36;27/01/2023 12:36;89,504;90,208
1361;27/01/2023 12:36;27/01/2023 12:36;89,51;90,211
1362;27/01/2023 12:36;27/01/2023 12:36;89,499;90,202
1363;27/01/2023 12:36;27/01/2023 12:36;89,504;90,202
1364;27/01/2023 12:36;27/01/2023 12:36;89,513;90,211
1365;27/01/2023 12:36;27/01/2023 12:36;89,51;90,199
1366;27/01/2023 12:37;27/01/2023 12:37;89,51;90,208
1367;27/01/2023 12:37;27/01/2023 12:37;89,507;90,197
1368;27/01/2023 12:37;27/01/2023 12:37;89,516;90,191
1369;27/01/2023 12:37;27/01/2023 12:37;89,51;90,197
1370;27/01/2023 12:37;27/01/2023 12:37;89,507;90,199
1371;27/01/2023 12:37;27/01/2023 12:37;89,507;90,197
1372;27/01/2023 12:37;27/01/2023 12:37;89,516;90,182
1373;27/01/2023 12:37;27/01/2023 12:37;89,507;90,182
1374;27/01/2023 12:37;27/01/2023 12:37;89,504;90,182
1375;27/01/2023 12:37;27/01/2023 12:37;89,51;90,185
1376;27/01/2023 12:37;27/01/2023 12:37;89,513;90,191
1377;27/01/2023 12:37;27/01/2023 12:37;89,51;90,188
1378;27/01/2023 12:38;27/01/2023 12:38;89,507;90,185
1379;27/01/2023 12:38;27/01/2023 12:38;89,507;90,188
1380;27/01/2023 12:38;27/01/2023 12:38;89,51;90,194
1381;27/01/2023 12:38;27/01/2023 12:38;89,516;90,191
1382;27/01/2023 12:38;27/01/2023 12:38;89,507;90,188
1383;27/01/2023 12:38;27/01/2023 12:38;89,516;90,194
1384;27/01/2023 12:38;27/01/2023 12:38;89,513;90,188
1385;27/01/2023 12:38;27/01/2023 12:38;89,516;90,191
1386;27/01/2023 12:38;27/01/2023 12:38;89,51;90,191
1387;27/01/2023 12:38;27/01/2023 12:38;89,507;90,194
1388;27/01/2023 12:38;27/01/2023 12:38;89,504;90,194
1389;27/01/2023 12:38;27/01/2023 12:38;89,513;90,191
1390;27/01/2023 12:39;27/01/2023 12:39;89,51;90,194
1391;27/01/2023 12:39;27/01/2023 12:39;89,513;90,197
1392;27/01/2023 12:39;27/01/2023 12:39;89,507;90,199
1393;27/01/2023 12:39;27/01/2023 12:39;89,513;90,197
1394;27/01/2023 12:39;27/01/2023 12:39;89,51;90,197
1395;27/01/2023 12:39;27/01/2023 12:39;89,507;90,194
1396;27/01/2023 12:39;27/01/2023 12:39;89,516;90,197
1397;27/01/2023 12:39;27/01/2023 12:39;89,516;90,194
1398;27/01/2023 12:39;27/01/2023 12:39;89,51;90,197
1399;27/01/2023 12:39;27/01/2023 12:39;89,507;90,191
1400;27/01/2023 12:39;27/01/2023 12:39;89,513;90,188
1401;27/01/2023 12:39;27/01/2023 12:39;89,516;90,194
1402;27/01/2023 12:40;27/01/2023 12:40;89,507;90,194
1403;27/01/2023 12:40;27/01/2023 12:40;89,51;90,199
1404;27/01/2023 12:40;27/01/2023 12:40;89,513;90,191
1405;27/01/2023 12:40;27/01/2023 12:40;89,501;90,194
1406;27/01/2023 12:40;27/01/2023 12:40;89,507;90,199
1407;27/01/2023 12:40;27/01/2023 12:40;89,507;90,194
1408;27/01/2023 12:40;27/01/2023 12:40;89,507;90,197
1409;27/01/2023 12:40;27/01/2023 12:40;89,507;90,197
1410;27/01/2023 12:40;27/01/2023 12:40;89,513;90,197
1411;27/01/2023 12:40;27/01/2023 12:40;89,51;90,188
1412;27/01/2023 12:40;27/01/2023 12:40;89,501;90,191
